,Total-Test,Total-Params,Motor-Test,Motor-Params
0.0001,8.693025831013133,"{'dp_rate': 0.5, 'lr': 0.0001, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}",6.881967814170025,"{'dp_rate': 0.4, 'lr': 0.0001, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}"
0.0003,5.666943406307139,"{'dp_rate': 0.4, 'lr': 0.0003, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}",4.291594655944825,"{'dp_rate': 0.4, 'lr': 0.0003, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}"
0.0005,3.820642582462392,"{'dp_rate': 0.1, 'lr': 0.0005, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}",2.9867913630306164,"{'dp_rate': 0.1, 'lr': 0.0005, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}"
0.0007,3.3398264878488093,"{'dp_rate': 0.1, 'lr': 0.0007, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}",2.6276791278608607,"{'dp_rate': 0.1, 'lr': 0.0007, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}"
0.001,2.856471997293026,"{'dp_rate': 0.1, 'lr': 0.001, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}",2.2878965439764793,"{'dp_rate': 0.1, 'lr': 0.001, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}"
0.003,8.593881396328541,"{'dp_rate': 0.2, 'lr': 0.003, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}",6.872469994462682,"{'dp_rate': 0.5, 'lr': 0.003, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}"
0.005,8.627830043516767,"{'dp_rate': 0.4, 'lr': 0.005, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}",6.872305413150869,"{'dp_rate': 0.5, 'lr': 0.005, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}"
0.007,8.624776313424617,"{'dp_rate': 0.4, 'lr': 0.007, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}",6.873579301791576,"{'dp_rate': 0.5, 'lr': 0.007, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}"
0.01,8.615749701291348,"{'dp_rate': 0.4, 'lr': 0.01, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}",6.874386103549389,"{'dp_rate': 0.4, 'lr': 0.01, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}"
0.05,8.594130635194169,"{'dp_rate': 0.2, 'lr': 0.05, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}",6.934141345612222,"{'dp_rate': 0.3, 'lr': 0.05, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}"
0.1,8.595374914849465,"{'dp_rate': 0.3, 'lr': 0.1, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}",6.882776743301717,"{'dp_rate': 0.1, 'lr': 0.1, 'activation': 'sigmoid', 'hidden_units': [500, 400, 300, 200]}"
