,Total-Test,Total-Params,Motor-Test,Motor-Params
4,-9.234778312059243,"{'C': 100.0, 'gamma': 500}",-7.445883948181731,"{'C': 100.0, 'gamma': 500}"
5,-9.223751627052687,"{'C': 100.0, 'gamma': 100}",-7.438077601460965,"{'C': 100.0, 'gamma': 100}"
6,-9.223601487579137,"{'C': 100.0, 'gamma': 100}",-7.439002373939413,"{'C': 100.0, 'gamma': 100}"
7,-9.228950774503101,"{'C': 100.0, 'gamma': 100}",-7.441004351327559,"{'C': 100.0, 'gamma': 100}"
8,-9.23050032209564,"{'C': 100.0, 'gamma': 500}",-7.442257486053771,"{'C': 100.0, 'gamma': 500}"
9,-9.230493080851122,"{'C': 100.0, 'gamma': 500}",-7.44225252896069,"{'C': 100.0, 'gamma': 500}"
10,-9.23049307832022,"{'C': 100.0, 'gamma': 500}",-7.442252520608827,"{'C': 100.0, 'gamma': 500}"
11,-9.230493075653577,"{'C': 100.0, 'gamma': 500}",-7.442252517781289,"{'C': 100.0, 'gamma': 500}"
12,-9.230493073485988,"{'C': 100.0, 'gamma': 500}",-7.442252515948806,"{'C': 100.0, 'gamma': 500}"
13,-9.230493072761567,"{'C': 100.0, 'gamma': 500}",-7.4422525152405035,"{'C': 100.0, 'gamma': 500}"
14,-9.230493072709796,"{'C': 100.0, 'gamma': 500}",-7.442252515202174,"{'C': 100.0, 'gamma': 500}"
15,-9.23049307270601,"{'C': 100.0, 'gamma': 500}",-7.442252515199027,"{'C': 100.0, 'gamma': 500}"
