,Total-Test,Total-Params,Motor-Test,Motor-Params
4,-6.604583578906232,"{'C': 10, 'gamma': 1}",-5.071572931348816,"{'C': 10, 'gamma': 1}"
5,-5.596795885594467,"{'C': 10, 'gamma': 1}",-4.2745635667382285,"{'C': 10, 'gamma': 1}"
6,-5.341547621479411,"{'C': 10, 'gamma': 1}",-4.184195607740466,"{'C': 10, 'gamma': 1}"
7,-5.199078659621444,"{'C': 10, 'gamma': 1}",-3.9910952920418765,"{'C': 10, 'gamma': 1}"
8,-4.99234871398355,"{'C': 10, 'gamma': 1}",-3.912125500498773,"{'C': 10, 'gamma': 1}"
9,-4.834662623374343,"{'C': 10, 'gamma': 1}",-3.826110152718663,"{'C': 10, 'gamma': 1}"
10,-4.835168984541822,"{'C': 10, 'gamma': 1}",-3.7580012000859835,"{'C': 10, 'gamma': 1}"
11,-4.843629325779205,"{'C': 10, 'gamma': 1}",-3.7612416725595503,"{'C': 10, 'gamma': 1}"
12,-4.82730963305977,"{'C': 10, 'gamma': 1}",-3.7162878620960207,"{'C': 10, 'gamma': 1}"
13,-4.807252117096229,"{'C': 10, 'gamma': 1}",-3.726560911330179,"{'C': 10, 'gamma': 1}"
14,-4.7808943143579725,"{'C': 10, 'gamma': 1}",-3.744987499314548,"{'C': 10, 'gamma': 1}"
15,-4.807886637385689,"{'C': 10, 'gamma': 1}",-3.6986539625495727,"{'C': 10, 'gamma': 1}"
16,-4.777127422626146,"{'C': 10, 'gamma': 1}",-3.7023411785375453,"{'C': 10, 'gamma': 1}"
17,-4.752264902370221,"{'C': 10, 'gamma': 1}",-3.721558504002122,"{'C': 10, 'gamma': 1}"
